product_id,product_name,category_id,category_name,brand,price,description
25,"Samsung Family Hub Refrigerator",3,"Home Appliances","Samsung",3299,"Samsung’s smart refrigerator with built-in screen and Wi-Fi connectivity."
26,"LG Smart Inverter Microwave",3,"Home Appliances","LG",149,"LG Smart Inverter Microwave, designed for fast and even cooking."
27,"Breville Toaster Oven",3,"Home Appliances","Breville",279,"Breville toaster oven with smart cooking functions and an LCD display."
28,"KitchenAid Stand Mixer",3,"Home Appliances","KitchenAid",399,"KitchenAid stand mixer, the ultimate baking companion with 10-speed controls."
29,"iRobot Roomba s9+",3,"Home Appliances","iRobot",1099,"iRobot Roomba s9+, a robot vacuum with automatic dirt disposal."
30,"Whirlpool Washing Machine",3,"Home Appliances","Whirlpool",599,"Whirlpool washing machine with advanced load-sensing technology."
31,"Samsung Galaxy S1",1,"Electronics","Samsung",150,"The Galaxy S1 small device android O.S"
32,"Wilson Pro Staff Tennis Racket",4,"Sports Equipment","Wilson",229,"Wilson Pro Staff tennis racket, designed for precision and control, ideal for advanced players."
33,"Nike Phantom GT Football Boots",4,"Sports Equipment","Nike",249,"Nike Phantom GT football boots, engineered for accuracy and power, perfect for attacking players."
34,"Yonex Arcsaber Badminton Racket",4,"Sports Equipment","Yonex",199,"Yonex Arcsaber badminton racket, known for its balance and control, suitable for both beginners and pros."
35,"Spalding NBA Official Basketball",4,"Sports Equipment","Spalding",59,"Spalding NBA Official basketball, the official ball of the NBA, designed for professional play."
36,"Clinique Moisture Surge Moisturizer",5,"Beauty and Personal Care","Clinique",49,"Clinique Moisture Surge moisturizer, a refreshing gel-cream that hydrates and soothes the skin."
37,"L'Oreal Paris Revitalift Serum",5,"Beauty and Personal Care","L'Oreal Paris",29,"L'Oreal Paris Revitalift serum, formulated to reduce wrinkles and firm the skin."
38,"Dove Deep Moisture Body Wash",5,"Beauty and Personal Care","Dove",8,"Dove Deep Moisture body wash, enriched with NutriumMoisture for deep hydration."
39,"Gillette Fusion ProGlide Razor",5,"Beauty and Personal Care","Gillette",15,"Gillette Fusion ProGlide razor, featuring 5 precision blades for a smooth shave."
40,"LEGO Star Wars Millennium Falcon",6,"Toys and Games","LEGO",159,"LEGO Star Wars Millennium Falcon, a detailed replica of the iconic starship, perfect for Star Wars fans."
41,"Barbie Dreamhouse Playset",6,"Toys and Games","Barbie",199,"Barbie Dreamhouse playset, a multi-level house with interactive features, ideal for imaginative play."
42,"Monopoly Classic Game",6,"Toys and Games","Hasbro",25,"Monopoly Classic game, the timeless board game of buying, selling, and strategic trading."
43,"Nerf N-Strike Elite Disruptor",6,"Toys and Games","Nerf",19,"Nerf N-Strike Elite Disruptor, a rapid-fire blaster with 6 darts, perfect for action-packed play."
